,description,language,description_no_nn,translated_text,tokens_text,preprocessed_text,ngrams_only,Nouns,final_tokens,final_memo_tokens
39, prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including its major economy nigeria ,en, prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including its major economy nigeria , prnewswire recently solar globally leading manufacturer photovoltaic products was awarded the top brand the latam region and its major economies brazil mexico and chile and africa including its major economy nigeria ,"['prnewswire', 'recently', 'solar', 'globally', 'leading', 'manufacturer', 'photovoltaic', 'product', 'awarded', 'top', 'brand', 'latam', 'region', 'major', 'economy', 'brazil', 'mexico', 'chile', 'africa', 'including', 'major', 'economy', 'nigeria']","['prnewswire', 'recently', 'solar', 'globally', 'leading', 'manufacturer', 'photovoltaic', 'product', 'awarded', 'top', 'brand', 'latam', 'region', 'major', 'economy', 'brazil', 'mexico', 'chile', 'africa', 'including', 'major', 'economy', 'nigeria']",[],prnewswire manufacturer product brand latam region economy mexico chile economy nigeria,"['prnewswire', 'manufacturer', 'product', 'brand', 'latam', 'region', 'economy', 'mexico', 'chile', 'nigeria']","['prnewswire', 'manufacturer', 'product', 'brand', 'latam', 'region', 'economy', 'mexico', 'chile', 'nigeria']"
40, india april the standard treatment for patients with multiple myeloma often includes stem cell transplantation which the patient own stem cells are harvested and stored while the patient receives intensive chemotherapy kill the cancer ,en, india april the standard treatment for patients with multiple myeloma often includes stem cell transplantation which the patient own stem cells are harvested and stored while the patient receives intensive chemotherapy kill the cancer , india april the standard treatment for patients with multiple myeloma often includes stem cell transplantation which the patient own stem cells are harvested and stored while the patient receives intensive chemotherapy kill the cancer ,"['india', 'april', 'standard', 'treatment', 'patient', 'multiple', 'myeloma', 'often', 'includes', 'stem', 'cell', 'transplantation', 'patient', 'stem', 'cell', 'harvested', 'stored', 'patient', 'receives', 'intensive', 'chemotherapy', 'kill', 'cancer']","['india', 'april', 'standard', 'treatment', 'patient', 'multiple', 'myeloma', 'often', 'includes', 'stem_cell', 'transplantation', 'patient', 'stem_cell', 'harvested', 'stored', 'patient', 'receives', 'intensive', 'chemotherapy', 'kill', 'cancer']","['stem_cell', 'stem_cell']",india treatment myeloma stem cell transplantation stem cell patient receives chemotherapy kill cancer,"['stem_cell', 'india', 'treatment', 'myeloma', 'stem', 'cell', 'transplantation', 'patient', 'receives', 'chemotherapy', 'kill', 'cancer']","['stem_cell', 'india', 'treatment', 'myeloma', 'stem', 'cell', 'transplantation', 'patient', 'receives', 'chemotherapy', 'kill', 'cancer']"
41, india april mit associate professors ellen roche the department mechanical engineering meche and justin solomon the department electrical engineering and computer science eecs have been named the winners mit annual ,en, india april mit associate professors ellen roche the department mechanical engineering meche and justin solomon the department electrical engineering and computer science eecs have been named the winners mit annual , india april mit associate professors ellen roche the department mechanical engineering meche and justin solomon the department electrical engineering and computer science eecs have been named the winners mit annual ,"['india', 'april', 'mit', 'associate', 'professor', 'ellen', 'roche', 'department', 'mechanical', 'engineering', 'meche', 'justin', 'solomon', 'department', 'electrical', 'engineering', 'computer', 'science', 'eec', 'named', 'winner', 'mit', 'annual']","['india', 'april', 'mit', 'associate', 'professor', 'ellen', 'roche', 'department', 'mechanical', 'engineering', 'meche', 'justin', 'solomon', 'department', 'electrical', 'engineering', 'computer', 'science', 'eec', 'named', 'winner', 'mit', 'annual']",[],april mit associate professor roche department engineering meche justin solomon department engineering computer science eec winner mit,"['april', 'mit', 'associate', 'professor', 'roche', 'department', 'engineering', 'meche', 'justin', 'solomon', 'computer', 'science', 'eec', 'winner']","['april', 'mit', 'associate', 'professor', 'roche', 'department', 'engineering', 'meche', 'justin', 'solomon', 'computer', 'science', 'eec', 'winner']"
42, advocates say rules for guests size are inconsistent across australian aviation generating anxiety and unfair costs for those affectedfollow our australia news live blog for the latest updatesget our morning and afternoon news emails free app ,en, advocates say rules for guests size are inconsistent across australian aviation generating anxiety and unfair costs for those affectedfollow our australia news live blog for the latest updatesget our morning and afternoon news emails free app , advocates say rules for guests size are inconsistent across australian aviation generating anxiety and unfair costs for those affectedfollow our australia news live blog for the latest updatesget our morning and afternoon news emails free app ,"['advocate', 'say', 'rule', 'guest', 'size', 'inconsistent', 'across', 'australian', 'aviation', 'generating', 'anxiety', 'unfair', 'cost', 'affectedfollow', 'australia', 'news', 'live', 'blog', 'latest', 'updatesget', 'morning', 'afternoon', 'news', 'email', 'free', 'app']","['advocate', 'say', 'rule', 'guest', 'size', 'inconsistent', 'across', 'australian', 'aviation', 'generating', 'anxiety', 'unfair', 'cost', 'affectedfollow', 'australia', 'news', 'live', 'blog', 'latest', 'updatesget', 'morning', 'afternoon', 'news', 'email', 'free', 'app']",[],advocate rule size inconsistent aviation anxiety cost news blog updatesget morning afternoon news app,"['advocate', 'rule', 'size', 'inconsistent', 'aviation', 'anxiety', 'cost', 'news', 'blog', 'updatesget', 'morning', 'afternoon', 'app']","['advocate', 'rule', 'size', 'inconsistent', 'aviation', 'anxiety', 'cost', 'news', 'blog', 'updatesget', 'morning', 'afternoon', 'app']"
43, antonio has dinner ready for tonight already that age when avoids going the family doctor because knows will fail some the markers the analytical analysis enough for him avoid the commercials that warn him ,en, antonio has dinner ready for tonight already that age when avoids going the family doctor because knows will fail some the markers the analytical analysis enough for him avoid the commercials that warn him , antonio has dinner ready for tonight already that age when avoids going the family doctor because knows will fail some the markers the analytical analysis enough for him avoid the commercials that warn him ,"['antonio', 'dinner', 'ready', 'tonight', 'already', 'age', 'avoids', 'going', 'family', 'doctor', 'know', 'fail', 'marker', 'analytical', 'analysis', 'enough', 'avoid', 'commercial', 'warn']","['antonio', 'dinner', 'ready', 'tonight', 'already', 'age', 'avoids', 'going', 'family', 'doctor', 'know', 'fail', 'marker', 'analytical', 'analysis', 'enough', 'avoid', 'commercial', 'warn']",[],antonio dinner tonight age avoids family doctor fail marker analysis warn,"['antonio', 'dinner', 'tonight', 'age', 'avoids', 'family', 'doctor', 'fail', 'marker', 'analysis', 'warn']","['antonio', 'dinner', 'tonight', 'age', 'avoids', 'family', 'doctor', 'fail', 'marker', 'analysis', 'warn']"
44, for more than years the lobby philadelphia oyster house was stuffed with suits lunchtime any given afternoon politicians lawyers and business executives reliably lined sip drinks and slurp oysters before heading back offic ,en, for more than years the lobby philadelphia oyster house was stuffed with suits lunchtime any given afternoon politicians lawyers and business executives reliably lined sip drinks and slurp oysters before heading back offic , for more than years the lobby philadelphia oyster house was stuffed with suits lunchtime any given afternoon politicians lawyers and business executives reliably lined sip drinks and slurp oysters before heading back offic ,"['year', 'lobby', 'philadelphia', 'oyster', 'house', 'stuffed', 'suit', 'lunchtime', 'given', 'afternoon', 'politician', 'lawyer', 'business', 'executive', 'reliably', 'lined', 'sip', 'drink', 'slurp', 'oyster', 'heading', 'back', 'offic']","['year', 'lobby', 'philadelphia', 'oyster', 'house', 'stuffed', 'suit', 'lunchtime', 'given', 'afternoon', 'politician', 'lawyer', 'business', 'executive', 'reliably', 'lined', 'sip', 'drink', 'slurp', 'oyster', 'heading', 'back', 'offic']",[],year lobby philadelphia oyster house suit lunchtime afternoon lawyer business executive drink slurp oyster offic,"['year', 'lobby', 'philadelphia', 'oyster', 'house', 'suit', 'lunchtime', 'afternoon', 'lawyer', 'business', 'executive', 'drink', 'slurp', 'offic']","['year', 'lobby', 'philadelphia', 'oyster', 'house', 'suit', 'lunchtime', 'afternoon', 'lawyer', 'business', 'executive', 'drink', 'slurp', 'offic']"
45, history multiform and dynamic but the called universal history nothing other than the permanent conflict between clans tribes peoples nations and states could almost said that the dialectic confrontation for power and wealth ,en, history multiform and dynamic but the called universal history nothing other than the permanent conflict between clans tribes peoples nations and states could almost said that the dialectic confrontation for power and wealth , history multiform and dynamic but the called universal history nothing other than the permanent conflict between clans tribes peoples nations and states could almost said that the dialectic confrontation for power and wealth ,"['history', 'multiform', 'dynamic', 'called', 'universal', 'history', 'nothing', 'permanent', 'conflict', 'clan', 'tribe', 'people', 'nation', 'state', 'could', 'almost', 'said', 'dialectic', 'confrontation', 'power', 'wealth']","['history', 'multiform', 'dynamic', 'called', 'universal', 'history', 'nothing', 'permanent', 'conflict', 'clan', 'tribe', 'people', 'nation', 'state', 'could', 'almost', 'said', 'dialectic', 'confrontation', 'power', 'wealth']",[],history multiform dynamic history nothing conflict clan people nation state confrontation power wealth,"['history', 'multiform', 'dynamic', 'nothing', 'conflict', 'clan', 'people', 'nation', 'state', 'confrontation', 'power', 'wealth']","['history', 'multiform', 'dynamic', 'nothing', 'conflict', 'clan', 'people', 'nation', 'state', 'confrontation', 'power', 'wealth']"
46, solution offre une précision améliorée une détection intelligente grâce des algorithmes intelligents des algorithmes navigation des algorithmes perception ,fr, solution offre une précision améliorée une détection intelligente grâce des algorithmes intelligents des algorithmes navigation des algorithmes perception ,solution offers improved accuracy intelligent detection thanks to intelligent algorithms navigation algorithms perception algorithms,"['solution', 'offer', 'improved', 'accuracy', 'intelligent', 'detection', 'thanks', 'intelligent', 'algorithm', 'navigation', 'algorithm', 'perception', 'algorithm']","['solution', 'offer', 'improved', 'accuracy', 'intelligent', 'detection', 'thanks', 'intelligent', 'algorithm', 'navigation', 'algorithm', 'perception', 'algorithm']",[],solution offer detection thanks navigation algorithm perception algorithm,"['solution', 'offer', 'detection', 'thanks', 'navigation', 'algorithm', 'perception']","['solution', 'offer', 'detection', 'thanks', 'navigation', 'algorithm', 'perception']"
48, more than half the world population age and older more than billion people are projected overweight obese this according recent report from the world obesity federation comparison billion people ,en, more than half the world population age and older more than billion people are projected overweight obese this according recent report from the world obesity federation comparison billion people , more than half the world population age and older more than billion people are projected overweight obese this according recent report from the world obesity federation comparison billion people ,"['half', 'world', 'population', 'age', 'older', 'billion', 'people', 'projected', 'overweight', 'obese', 'according', 'recent', 'report', 'world', 'obesity', 'federation', 'comparison', 'billion', 'people']","['half', 'world', 'population', 'age', 'older', 'billion', 'people', 'projected', 'overweight_obese', 'according', 'recent', 'report', 'world', 'obesity', 'federation', 'comparison', 'billion', 'people']",['overweight_obese'],half world population age people report world obesity federation comparison people,"['overweight_obese', 'half', 'world', 'population', 'age', 'people', 'report', 'obesity', 'federation', 'comparison']","['overweight_obese', 'half', 'world', 'population', 'age', 'people', 'report', 'obesity', 'federation', 'comparison']"
49, description congressional committee hearings the senate today include budget committee hearing health costs climate change appropriations subcommittee hearing usace and usbr budgets armed services subcommittee hearing ,en, description congressional committee hearings the senate today include budget committee hearing health costs climate change appropriations subcommittee hearing usace and usbr budgets armed services subcommittee hearing , description congressional committee hearings the senate today include budget committee hearing health costs climate change appropriations subcommittee hearing usace and usbr budgets armed services subcommittee hearing ,"['description', 'congressional', 'committee', 'hearing', 'senate', 'today', 'include', 'budget', 'committee', 'hearing', 'health', 'cost', 'climate', 'change', 'appropriation', 'subcommittee', 'hearing', 'usace', 'usbr', 'budget', 'armed', 'service', 'subcommittee', 'hearing']","['description', 'congressional', 'committee', 'hearing', 'senate', 'today', 'include', 'budget', 'committee', 'hearing', 'health', 'cost', 'climate', 'change', 'appropriation', 'subcommittee', 'hearing', 'usace', 'usbr', 'budget', 'armed', 'service', 'subcommittee', 'hearing']",[],description committee today budget committee health cost climate change appropriation subcommittee budget service subcommittee hearing,"['description', 'committee', 'today', 'budget', 'health', 'cost', 'climate', 'change', 'appropriation', 'subcommittee', 'service', 'hearing']","['description', 'committee', 'today', 'budget', 'health', 'cost', 'climate', 'change', 'appropriation', 'subcommittee', 'service', 'hearing']"
50, people with disabilities continue marginalized employment according data unemployment among people with disabilities reaches some countries ,en, people with disabilities continue marginalized employment according data unemployment among people with disabilities reaches some countries , people with disabilities continue marginalized employment according data unemployment among people with disabilities reaches some countries ,"['people', 'disability', 'continue', 'marginalized', 'employment', 'according', 'data', 'unemployment', 'among', 'people', 'disability', 'reach', 'country']","['people', 'disability', 'continue', 'marginalized', 'employment', 'according', 'data', 'unemployment', 'among', 'people', 'disability', 'reach', 'country']",[],people disability employment data unemployment people country,"['people', 'disability', 'employment', 'data', 'unemployment', 'country']","['people', 'disability', 'employment', 'data', 'unemployment', 'country']"
51, march barbara loe fisher cofounder and president the charitable national vaccine information center nvic and nvic founder kathi williams and unveiled public truth and freedom monument outside the mercola office cape coral ,en, march barbara loe fisher cofounder and president the charitable national vaccine information center nvic and nvic founder kathi williams and unveiled public truth and freedom monument outside the mercola office cape coral , march barbara loe fisher cofounder and president the charitable national vaccine information center nvic and nvic founder kathi williams and unveiled public truth and freedom monument outside the mercola office cape coral ,"['march', 'barbara', 'loe', 'fisher', 'cofounder', 'president', 'charitable', 'national', 'vaccine', 'information', 'center', 'nvic', 'nvic', 'founder', 'kathi', 'williams', 'unveiled', 'public', 'truth', 'freedom', 'monument', 'outside', 'mercola', 'office', 'cape', 'coral']","['march', 'barbara', 'loe', 'fisher', 'cofounder', 'president', 'charitable', 'national', 'vaccine', 'information', 'center', 'nvic', 'nvic', 'founder', 'kathi', 'williams', 'unveiled', 'public', 'truth', 'freedom', 'monument', 'outside', 'mercola', 'office', 'cape', 'coral']",[],march barbara cofounder president vaccine information center nvic founder kathi williams truth freedom monument mercola office cape coral,"['march', 'barbara', 'cofounder', 'president', 'vaccine', 'information', 'center', 'nvic', 'founder', 'kathi', 'williams', 'truth', 'freedom', 'monument', 'mercola', 'office', 'cape', 'coral']","['march', 'barbara', 'cofounder', 'president', 'vaccine', 'information', 'center', 'nvic', 'founder', 'kathi', 'williams', 'truth', 'freedom', 'monument', 'mercola', 'office', 'cape', 'coral']"
52, editor note this article reprint was originally published july the there are about registered chemicals these only few hundred are actually tested for safety and even that testing considered inadequate ,en, editor note this article reprint was originally published july the there are about registered chemicals these only few hundred are actually tested for safety and even that testing considered inadequate , editor note this article reprint was originally published july the there are about registered chemicals these only few hundred are actually tested for safety and even that testing considered inadequate ,"['editor', 'note', 'article', 'reprint', 'originally', 'published', 'july', 'registered', 'chemical', 'hundred', 'actually', 'tested', 'safety', 'even', 'testing', 'considered', 'inadequate']","['editor', 'note', 'article', 'reprint', 'originally', 'published', 'july', 'registered', 'chemical', 'hundred', 'actually', 'tested', 'safety', 'even', 'testing', 'considered', 'inadequate']",[],editor note article reprint chemical safety,"['editor', 'note', 'article', 'reprint', 'chemical', 'safety']","['editor', 'note', 'article', 'reprint', 'chemical', 'safety']"
